"panel","level","task","nt","stim","idx","trial","Oz"
"A","trial","RL","SE","Post-Stim",3,44,5.13193867677195
"A","trial","RL","SE","Post-Stim",3,45,-4.18954759140603
"A","trial","RL","SE","Post-Stim",3,46,-1.04090129631274
"A","trial","RL","SE","Post-Stim",3,47,-1.48320725361416
"A","trial","RL","SE","Post-Stim",3,48,-3.39055003686035
"A","trial","RL","SE","Post-Stim",3,49,1.69791351504041
"A","trial","RL","SE","Post-Stim",3,50,-1.54923249615177
"A","trial","RL","SE","Post-Stim",3,51,0.993344289108118
"A","trial","RL","SE","Post-Stim",3,52,-6.23326378788398
"A","trial","RL","SE","Post-Stim",3,53,0.880407039256703
"A","trial","RL","SE","Post-Stim",3,54,2.28586772533987
"A","trial","RL","SE","Post-Stim",3,55,8.54418000317178
"A","trial","RL","SE","Post-Stim",3,56,2.57892016005399
"A","trial","RL","SE","Post-Stim",3,57,-4.23102808482768
"A","trial","RL","SE","Post-Stim",3,58,-3.0803109805692
"A","trial","RL","SE","Post-Stim",3,59,-0.845517771333403
"A","trial","RL","SE","Post-Stim",3,60,-0.612977150518604
"A","trial","RL","SE","Post-Stim",3,61,2.97806848590839
"A","trial","RL","SE","Post-Stim",3,62,-2.26798172635208
"A","trial","RL","SE","Post-Stim",3,63,6.48017604809405
"A","trial","RL","SE","Post-Stim",3,64,-1.98676937535904
"A","trial","RL","SE","Post-Stim",3,65,-0.461221417687611
"A","trial","RL","SE","Post-Stim",3,66,3.01325663069233
"A","trial","RL","SE","Post-Stim",3,67,5.70938898201433
"A","trial","RL","SE","Post-Stim",3,68,0.585041922145428
"A","trial","RL","SE","Post-Stim",3,69,-0.321494825432489
"A","trial","RL","SE","Post-Stim",3,70,1.24988437027912
"A","trial","RL","SE","Post-Stim",3,71,0.160590526817141
"A","trial","RL","SE","Post-Stim",3,72,4.80353752441901
"A","trial","RL","SE","Post-Stim",3,73,-4.10447894433618
"A","trial","RL","SE","Post-Stim",3,74,-4.07126537847407
"A","trial","RL","SE","Post-Stim",3,75,-1.25756702418673
"A","trial","RL","SE","Post-Stim",3,76,1.64975053780918
"A","trial","RL","SE","Post-Stim",3,77,2.35968537107273
"A","trial","RL","SE","Post-Stim",3,78,0.993228064923888
"A","trial","RL","SE","Post-Stim",3,79,4.54136806988218
"A","trial","RL","SE","Post-Stim",3,80,-3.26869621202613
"A","trial","RL","SE","Post-Stim",3,81,0.76219232349664
"A","trial","RL","SE","Post-Stim",3,82,-2.28120488257913
"A","trial","RL","SE","Post-Stim",3,83,2.81785960272746
"A","trial","RL","SE","Post-Stim",3,84,-1.20546750304066
"A","trial","RL","SE","Post-Stim",3,85,-2.96514692972652
"A","trial","RL","SE","Post-Stim",3,86,-5.98851802590576
"A","trial","RL","SE","Post-Stim",3,87,7.3355843005615
"A","trial","RL","SE","Post-Stim",3,88,-3.95994409062409
"A","trial","RL","SE","Post-Stim",3,89,4.52965962998453
"A","trial","RL","SE","Post-Stim",3,90,1.45138185925879
"A","trial","RL","SE","Post-Stim",3,91,1.55654206430008
"A","trial","RL","SE","Post-Stim",3,92,4.19391930063802
"A","trial","RL","SE","Post-Stim",3,93,1.09759786881925
"A","trial","RL","SE","Post-Stim",3,94,-1.58182516237965
"A","trial","RL","SE","Post-Stim",3,95,5.88611161018293
"A","trial","RL","SE","Post-Stim",3,96,3.71705909298408
"A","trial","RL","SE","Post-Stim",3,97,-5.01608989494702
"A","trial","RL","SE","Post-Stim",3,98,-0.850774758312031
"A","trial","RL","SE","Post-Stim",3,99,2.91609319011541
"A","trial","RL","SE","Post-Stim",3,100,2.22164977067993
"A","trial","RL","SE","Post-Stim",3,101,0.558404408201574
"A","trial","RL","SE","Post-Stim",3,102,1.25696039175681
"A","trial","RL","SE","Post-Stim",3,103,2.33650476299251
"A","trial","RL","SE","Post-Stim",3,104,0.397992893773255
"A","trial","RL","SE","Post-Stim",3,105,0.082123595339742
"A","trial","RL","DA","Post-Stim",3,1,2.93966296464898
"A","trial","RL","DA","Post-Stim",3,2,3.77084576416098
"A","trial","RL","DA","Post-Stim",3,3,4.19201173878483
"A","trial","RL","DA","Post-Stim",3,4,3.65866918301762
"A","trial","RL","DA","Post-Stim",3,5,4.12020973567532
"A","trial","RL","DA","Post-Stim",3,6,0.891392393220324
"A","trial","RL","DA","Post-Stim",3,7,2.99111288979533
"A","trial","RL","DA","Post-Stim",3,8,3.84483128348184
"A","trial","RL","DA","Post-Stim",3,9,3.89387568139718
"A","trial","RL","DA","Post-Stim",3,10,3.75527102690635
"A","trial","RL","DA","Post-Stim",3,11,1.88889522003522
"A","trial","RL","DA","Post-Stim",3,12,7.08048640539587
"A","trial","RL","DA","Post-Stim",3,13,1.88381355579244
"A","trial","RL","DA","Post-Stim",3,14,8.38216147387451
"A","trial","RL","DA","Post-Stim",3,15,2.29681975319006
"A","trial","RL","DA","Post-Stim",3,16,3.79701881547829
"A","trial","RL","DA","Post-Stim",3,17,3.77699921199668
"A","trial","RL","DA","Post-Stim",3,18,3.26423458746079
"A","trial","RL","DA","Post-Stim",3,20,2.11320744165894
