"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","5-HT","Post-Stim",3,46,NA,-1.04090129631274
"A","trial","RL","5-HT","Post-Stim",3,47,NA,-1.48320725361416
"A","trial","RL","5-HT","Post-Stim",3,48,NA,-3.39055003686035
"A","trial","RL","5-HT","Post-Stim",3,49,NA,1.69791351504041
"A","trial","RL","5-HT","Post-Stim",3,50,NA,-1.54923249615177
"A","trial","RL","5-HT","Post-Stim",3,51,NA,0.993344289108118
"A","trial","RL","5-HT","Post-Stim",3,52,NA,-6.23326378788398
"A","trial","RL","5-HT","Post-Stim",3,53,NA,0.880407039256703
"A","trial","RL","5-HT","Post-Stim",3,54,NA,2.28586772533987
"A","trial","RL","5-HT","Post-Stim",3,55,NA,8.54418000317178
"A","trial","RL","5-HT","Post-Stim",3,56,NA,2.57892016005399
"A","trial","RL","5-HT","Post-Stim",3,57,NA,-4.23102808482768
"A","trial","RL","5-HT","Post-Stim",3,58,NA,-3.0803109805692
"A","trial","RL","5-HT","Post-Stim",3,59,NA,-0.845517771333403
"A","trial","RL","5-HT","Post-Stim",3,60,NA,-0.612977150518604
"A","trial","RL","5-HT","Post-Stim",3,61,NA,2.97806848590839
"A","trial","RL","5-HT","Post-Stim",3,62,NA,-2.26798172635208
"A","trial","RL","5-HT","Post-Stim",3,63,NA,6.48017604809405
"A","trial","RL","5-HT","Post-Stim",3,64,NA,-1.98676937535904
"A","trial","RL","5-HT","Post-Stim",3,65,NA,-0.461221417687611
"A","trial","RL","5-HT","Post-Stim",3,66,NA,3.01325663069233
"A","trial","RL","5-HT","Post-Stim",3,67,NA,5.70938898201433
"A","trial","RL","5-HT","Post-Stim",3,68,NA,0.585041922145428
"A","trial","RL","5-HT","Post-Stim",3,69,NA,-0.321494825432489
"A","trial","RL","5-HT","Post-Stim",3,70,NA,1.24988437027912
"A","trial","RL","5-HT","Post-Stim",3,71,NA,0.160590526817141
"A","trial","RL","5-HT","Post-Stim",3,72,NA,4.80353752441901
"A","trial","RL","5-HT","Post-Stim",3,73,NA,-4.10447894433618
"A","trial","RL","5-HT","Post-Stim",3,74,NA,-4.07126537847407
"A","trial","RL","5-HT","Post-Stim",3,75,NA,-1.25756702418673
"A","trial","RL","5-HT","Post-Stim",3,76,NA,1.64975053780918
"A","trial","RL","5-HT","Post-Stim",3,77,NA,2.35968537107273
"A","trial","RL","5-HT","Post-Stim",3,78,NA,0.993228064923888
"A","trial","RL","5-HT","Post-Stim",3,79,NA,4.54136806988218
"A","trial","RL","5-HT","Post-Stim",3,80,NA,-3.26869621202613
"A","trial","RL","5-HT","Post-Stim",3,81,NA,0.76219232349664
"A","trial","RL","5-HT","Post-Stim",3,82,NA,-2.28120488257913
"A","trial","RL","5-HT","Post-Stim",3,83,NA,2.81785960272746
"A","trial","RL","5-HT","Post-Stim",3,84,NA,-1.20546750304066
"A","trial","RL","5-HT","Post-Stim",3,85,NA,-2.96514692972652
"A","trial","RL","5-HT","Post-Stim",3,86,NA,-5.98851802590576
"A","trial","RL","5-HT","Post-Stim",3,87,NA,7.3355843005615
"A","trial","RL","5-HT","Post-Stim",3,88,NA,-3.95994409062409
"A","trial","RL","5-HT","Post-Stim",3,89,NA,4.52965962998453
"A","trial","RL","5-HT","Post-Stim",3,90,NA,1.45138185925879
"A","trial","RL","5-HT","Post-Stim",3,91,NA,1.55654206430008
"A","trial","RL","5-HT","Post-Stim",3,92,NA,4.19391930063802
"A","trial","RL","5-HT","Post-Stim",3,93,NA,1.09759786881925
"A","trial","RL","5-HT","Post-Stim",3,94,NA,-1.58182516237965
"A","trial","RL","5-HT","Post-Stim",3,95,NA,5.88611161018293
"A","trial","RL","5-HT","Post-Stim",3,96,NA,3.71705909298408
"A","trial","RL","5-HT","Post-Stim",3,97,NA,-5.01608989494702
"A","trial","RL","5-HT","Post-Stim",3,98,NA,-0.850774758312031
"A","trial","RL","5-HT","Post-Stim",3,99,NA,2.91609319011541
"A","trial","RL","5-HT","Post-Stim",3,100,NA,2.22164977067993
"A","trial","RL","5-HT","Post-Stim",3,101,NA,0.558404408201574
"A","trial","RL","5-HT","Post-Stim",3,102,NA,1.25696039175681
"A","trial","RL","5-HT","Post-Stim",3,103,NA,2.33650476299251
"A","trial","RL","5-HT","Post-Stim",3,104,NA,0.397992893773255
"A","trial","RL","5-HT","Post-Stim",3,105,NA,0.082123595339742
"A","trial","RL","DA","Post-Stim",3,1,NA,2.93966296464898
"A","trial","RL","DA","Post-Stim",3,2,NA,3.77084576416098
"A","trial","RL","DA","Post-Stim",3,3,NA,4.19201173878483
"A","trial","RL","DA","Post-Stim",3,4,NA,3.65866918301762
"A","trial","RL","DA","Post-Stim",3,5,NA,4.12020973567532
"A","trial","RL","DA","Post-Stim",3,6,NA,0.891392393220324
"A","trial","RL","DA","Post-Stim",3,7,NA,2.99111288979533
"A","trial","RL","DA","Post-Stim",3,8,NA,3.84483128348184
"A","trial","RL","DA","Post-Stim",3,9,NA,3.89387568139718
"A","trial","RL","DA","Post-Stim",3,10,NA,3.75527102690635
"A","trial","RL","DA","Post-Stim",3,11,NA,1.88889522003522
"A","trial","RL","DA","Post-Stim",3,12,NA,7.08048640539587
"A","trial","RL","DA","Post-Stim",3,13,NA,1.88381355579244
"A","trial","RL","DA","Post-Stim",3,14,NA,8.38216147387451
"A","trial","RL","DA","Post-Stim",3,15,NA,2.29681975319006
"A","trial","RL","DA","Post-Stim",3,16,NA,3.79701881547829
"A","trial","RL","DA","Post-Stim",3,17,NA,3.77699921199668
"A","trial","RL","DA","Post-Stim",3,18,NA,3.26423458746079
"A","trial","RL","DA","Post-Stim",3,20,NA,2.11320744165894
